,FAC0,FAC1,FAC2,FAC3,FAC4,FAC5,FAC6,FAC7,FAC8,FAC9,FAC10,FAC11
0,-4.70080439864,0.20655641248,2.38636869217,-1.43292816789,-1.42855758833,2.19628809845,-2.34477829022,2.69871738908,-3.3297338943,-4.84131486064,0.476797395967,-3.86982707757
1,-3.70964894214,0.564136968937,1.95523806175,-1.6373931275,-1.50478358929,2.22805536997,-2.41718905239,2.14312076606,-2.36054717829,-3.17907030919,0.53902901379,-1.66197729124
2,-2.70837854082,0.697475804677,1.74146522078,-1.79837868112,-1.47485296467,2.2504251328,-2.2792069457,1.69913418967,-1.4847769557,-1.84515155043,0.631679486582,-0.0323003724693
3,-1.86340422815,0.468196332711,1.75934664309,-1.70437306822,-1.3688941596,2.09743812658,-1.81770783404,1.28908856149,-0.633075130965,-0.845328499244,0.808267992297,1.09211338146
4,-1.51451345821,0.184613283048,1.91761037162,-1.55953915848,-1.14546572691,1.8023895012,-1.14642435211,0.913420179089,0.0844162740422,-0.222363859027,1.09602986901,1.68971821426
5,-1.79101679867,0.00919384122191,2.13221140044,-1.24578777031,-1.01332418047,1.41478885363,-0.281253597994,0.590391357835,0.371293997779,0.0583996762248,1.33734626957,1.72237519646
6,-2.27030530767,0.0127310927865,2.43884751609,-1.00159198117,-0.83137603529,0.987875196445,0.638806671902,0.474058861247,0.255887436738,0.578004193717,1.38367474563,1.49739427678
7,-2.78707429848,0.205217828038,2.78091780898,-0.997966863429,-0.719629314013,0.562748652338,1.32905444081,0.457142546498,-0.241039194039,0.979507740155,1.26742225052,1.20020562182
8,-3.31271979453,0.3573535818,3.11524908471,-1.06752984178,-0.72687976149,0.260849191529,1.53316862157,0.556132241221,-0.835180495572,1.35301923865,0.881495779556,0.996892935058
9,-3.62971771665,0.359791250134,3.40970575586,-0.885490949941,-1.00799069092,0.182508942048,1.39329342647,0.681275286284,-1.17223465363,1.49845647985,0.218294235768,1.02101014618
