,YYYYMM,DATE,34042.0,34050.0,34056.0,34059.0,34099.0,34103.0,33990.0,33999.0,34004.0,34007.0,34098.0,34102.0,50324.0,50333.0,50335.0,50151.0,50157.0,50160.0,50232.0,50239.0,50241.0
0,200201,24025,1581134.000000003,1773871.000000002,-1.7462298274040222e-10,8932.000000001924,153065.00000000012,3517002.000000006,12.000000000000018,31.00000000000003,-5.551115123125783e-16,1.0000000000000102,14.000000000000018,58.00000000000004,38899960.00000009,12112576.00000002,46065066.00000005,542.0000000000014,342.0000000000007,479.00000000000057,12089008.690000022,5040364.290000015,14570710.980000038
1,200202,24026,1180906.9999999984,1206163.9999999986,1003209.9999999995,668943.999999999,136202.99999999977,4195427.999999997,4.999999999999996,19.999999999999954,2.9999999999999987,6.999999999999989,5.999999999999991,40.99999999999992,37541351.00000001,12571169.999999955,45074989.999999955,555.0,369.99999999999926,467.0,12075254.950000005,5246689.419999991,14302776.559999993
2,200203,24027,162019.00000000163,540610.0000000014,1.57160684466362e-09,54435.0000000007,37986.000000000335,795050.0000000072,2.000000000000032,11.000000000000027,1.1324274851176597e-14,1.0000000000000133,3.000000000000007,17.00000000000009,36883677.000000186,12559246.000000112,44463881.00000018,553.0000000000023,367.00000000000256,458.0000000000025,11953615.530000053,5214070.180000042,14084893.630000072
3,200204,24028,1917690.9999999998,731443.0000000009,4.656612873077393e-10,249967.00000000122,95474.00000000029,2994575.0000000056,13.000000000000014,31.000000000000036,3.9968028886505635e-15,4.000000000000018,7.000000000000021,55.00000000000008,36920513.00000018,12529198.000000048,43496407.00000019,553.0000000000027,364.0000000000017,445.00000000000233,11945074.73000006,5187982.890000022,14194311.100000065
4,200205,24029,1023653.0000000006,1318084.0000000019,29647.9999999999,1311075.9999999998,72871.00000000052,3755332.000000004,6.000000000000017,37.000000000000036,1.9999999999999976,11.00000000000001,9.000000000000016,65.00000000000003,38789777.000000015,12666230.000000037,44034161.000000045,575.0000000000005,359.00000000000034,448.00000000000006,12388863.890000004,5138456.80000001,14264229.520000007
5,200206,24030,53542.00000000157,611314.9999999993,-1.0877556633204222e-09,268528.99999999785,69520.99999999964,1002906.9999999951,1.9999999999999907,22.999999999999964,-1.0436096431476471e-14,6.999999999999977,4.999999999999975,36.99999999999985,37634471.99999982,13037489.999999782,44653744.999999836,554.9999999999975,364.9999999999956,454.99999999999704,12096271.63999995,5278440.519999931,14409970.69999991
6,200207,24031,57353.00000000112,734874.9999999995,37008.999999998676,654863.9999999994,215526.99999999977,1699627.9999999993,2.0000000000000293,32.99999999999997,0.999999999999988,13.99999999999999,11.999999999999986,61.999999999999964,39074062.99999994,13081377.999999834,44153924.999999896,579.9999999999987,365.9999999999968,450.9999999999984,12764765.499999983,5314824.32999995,14248843.859999945
7,200208,24032,312044.99999999965,1316533.9999999988,-2.1827872842550278e-11,839925.9999999991,105231.99999999983,2573736.999999996,6.999999999999986,33.99999999999995,-4.385380947269368e-15,15.999999999999963,8.999999999999963,65.99999999999987,40187308.999999836,12745927.999999747,44676042.99999976,604.9999999999978,360.999999999995,459.9999999999973,13261436.429999944,5215305.17999992,14564337.39999991
8,200209,24033,1000102.9999999991,363148.99999999977,516423.999999999,529319.0000000014,281963.9999999998,2690958.999999997,5.999999999999982,16.999999999999993,0.9999999999999956,8.000000000000028,13.00000000000001,45.00000000000004,40964799.000000075,12464077.000000043,43586654.00000009,613.0000000000013,362.00000000000114,453.0000000000007,13559399.170000017,5189415.760000018,14293039.060000017
9,200210,24034,1144408.0000000005,840164.0000000019,8.731149137020111e-11,611095.0000000035,248631.0000000004,2844298.000000008,10.00000000000002,25.000000000000057,4.773959005888173e-15,12.000000000000053,12.000000000000028,59.00000000000017,42205005.000000246,13097118.000000238,42998451.00000028,623.0000000000034,372.0000000000051,447.00000000000307,13672531.470000062,5354344.670000084,14050135.94000009
10,200211,24035,123506.99999999712,914250.9999999973,89716.99999999812,203584.99999999846,49653.9999999992,1380713.9999999905,0.9999999999999829,22.99999999999993,4.9999999999999805,7.999999999999987,3.9999999999999782,40.99999999999985,42841720.999999896,13506759.999999963,43902558.999999955,635.999999999999,375.9999999999992,459.9999999999993,13857102.549999978,5454364.879999995,14413162.069999978
11,200212,24036,165826.000000001,585355.0000000009,7.203198038041592e-10,636888.000000001,78620.00000000083,1466689.000000004,3.0000000000000187,25.000000000000036,9.769962616701378e-15,7.000000000000011,11.000000000000032,46.000000000000114,42014548.0000001,14230619.000000238,43137017.0000002,616.0000000000016,393.0000000000046,460.0000000000023,13569846.32000005,5682518.170000076,14292395.390000071
12,200301,24037,1.3533281162381172e-09,1077882.0,-1.1750671546906233e-09,753806.0000000005,337817.00000000023,2169505.0000000005,3.774758283725532e-15,26.999999999999964,-8.104628079763643e-15,12.000000000000018,12.000000000000016,51.00000000000005,42779353.00000005,13881942.00000001,45659046.000000075,642.0000000000005,387.00000000000045,485.0000000000008,13799178.560000028,5559369.400000012,15006505.640000032
