,YYYYMM,DATE,04.46.036,04.46.037,06.01.010.001.001,06.02.021.424,06.02.021.426,06.02.023.525,12508,13.01.005.002.001,13.01.005.002.002,13.01.005.002.020,13.01.006.002.001,13.01.006.002.002,13.01.006.002.020,13.01.009.005,13.03.006.001.001,13.03.006.001.002,13.03.006.001.026,13.03.007.001.005,14.09.002.003,14.09.002.004,14.09.005.001,14.09.005.011,14.09.005.012,14.09.005.013,14.09.005.014,14948,14970,19597,20651,24447,29454,29820,29894,30213,30234,30236,30879,30916,30932,40482,43515,43520,45376,45378,45390,46204,46206,46218,53163,533973,533979,541309,58618,69813,86174,88944,94431,97726,97730,97738,98499,DV
0,200402,24050,-0.7321796816881638,-0.43513395766248164,0.37262295061301515,0.9796150444922009,1.211010620683026,-0.11090284691967783,1.0027021859722227,0.8212075693404366,0.45859326892066193,0.9963102379237292,1.048513963019656,-0.5212789581788309,0.7498407388496698,-0.5917333119200607,-0.4941750275528805,-0.43084521649476765,-0.49967790817008856,-0.4503965897116426,-0.2196580329030691,-1.7380107696633056,-0.9486079244555927,0.14303348521423712,0.27870787683186804,-0.7454059453617121,-0.33671864226716175,-0.04108636763950823,0.6775952314934108,-0.4886019234869202,0.6165793945006894,-0.6245219506544346,0.2050753252270825,-0.24868072812620529,-1.9343924460639135,-0.5651149375799912,-0.19393987213916009,-0.3846661944801505,-1.452124987010748,-0.2839356263913678,-1.5082747397278304,0.8517756010614065,-1.568314190664773,1.8322106080552618,-0.15827670227274762,0.7942928108469136,0.28386032192245236,-0.8302231307663502,0.11008752690500954,0.4465496381630695,-0.20614776961887535,0.372058850939611,-0.2396033896328946,-0.02352748730358569,-0.425964699779204,0.017096740000055854,0.6510653970173421,-0.1449375584432686,1.2679325918384268,-0.34196163964989335,0.6663426616577972,1.7324545259095556,0.012817693850100486,5.3749639495215185
1,200403,24051,0.26340964399726835,0.5037427489380994,1.6967316960696812,0.9901274893289357,1.2202712790180652,-0.11090284691965893,0.039321654351834226,0.8147934236572132,0.42403682529710496,0.9611134393150607,0.8019235253052809,0.8566245092373805,0.7783708453026996,0.20969860845730678,0.0073083804757614335,-0.5534189129043902,-0.0804742733081286,-0.014180857865578374,0.18392476401080174,-1.6296468054496869,-0.6670679735819766,0.5825754476948599,0.21223834358696575,-0.10062951929670667,0.3512399902226029,-0.07494408586247883,0.5446573788657962,0.3487376877727068,1.4471605719722906,-0.16508810813540772,1.0788745370639257,-0.21011035013650875,0.66200125688847,-0.817061469239471,-0.06922788086856937,-0.3650677146238896,-1.2407570101180423,-0.020811497364668693,-0.8964260789335834,-0.01447474691925968,-0.8531831733281349,-0.8611089264161612,-0.22621303114027339,0.5793550674209399,0.7983978128206746,-0.37868756591192276,1.3037508995806137,-0.1890929716671425,0.03690422054774808,0.7329544356016098,-0.10040913330447498,0.3809801891434447,0.38911870853229874,0.6872889480041406,0.5373995854240665,-0.28307964107465,0.03613686445145656,-0.5852075903220898,0.5236074278059274,0.9684942322544128,-0.02770275767602512,5.418844258913927
2,200404,24052,-0.49683180634662194,0.5079987062775301,-0.7282875097344985,0.44698450609783386,0.7022917894778664,-0.11090284691977867,0.1769474445832669,-0.5635058496894232,-0.01834545370387309,-0.05586775625759585,-0.30241766346506577,0.05936571955150656,-0.6247964823019466,0.32339383801685734,-0.43222170205613014,-0.09662349869986415,-0.44613526417637517,-0.36420537083092075,-0.041491739335497685,-1.6346839593675668,-0.7023063118241195,-0.09938713954148302,-0.12340835763029383,-0.7143992888185557,-0.045003520808652386,0.5149615431763492,0.2771147412892191,-0.27707885095618384,1.6548058663401437,1.1147633103098593,1.0788745370638821,-0.03203776390339938,-0.3900439837883451,-0.8512237108205667,-0.14405507563093414,-0.21098677215964093,-0.6374567064035913,0.09249554384298951,-1.299529342666433,-0.3236198525183145,-0.9298043537570754,-2.225804315534499,0.156302219371549,1.5315895062552551,0.007893383299989818,-0.31519455658589746,0.5741662580347316,0.053523098895682464,-0.011706177485580135,0.4071302086966806,0.9414846922763124,-0.13139620102272226,-0.39090734888407513,2.3627694680140956,-0.030929472542384782,0.05016484342339564,0.6520347281448945,-1.2870339794532972,0.22284893159978914,0.5945013701698139,0.1850296128363255,5.486018289173265
3,200405,24053,1.8557532875020526,1.3668258623319982,-0.9484696018030496,0.1140904196013473,0.3917510466426808,-0.11090284691972195,0.8650763957406883,0.13972746185572965,0.1923925694636137,-0.04563682040838343,-1.1576507141814372,-0.11040221345778299,0.33470570534184835,0.15565239785446414,0.7868434884400247,-0.548470217104653,0.5693314375573114,0.7199628233740704,0.3518038739161768,-1.469199298807812,-0.7810946815473842,-0.4834870190664489,-0.33252041819925726,0.20625536546407341,-0.5255368757156801,0.9225563817837525,-0.09502789945202905,0.5544256410612036,-1.2522282548106316,-1.2152226053216566,0.42352512818618926,0.3779977965017999,-0.2214469900901393,-1.0092240781320998,-0.0941702791226896,0.7139683661064372,-1.0636987640716695,0.2687509412771374,-1.5514373308977296,-0.7905577724335366,0.409241989929436,0.49757458874128746,0.2720221717692544,0.9581038729929522,0.378625782427185,-0.7565370128383139,-0.2867090198262009,-0.6729246248517985,-0.19156465020887914,0.28042078712255974,-1.0228626060397903,-0.29319927160159004,-0.39967168660785984,0.01709674000002252,-0.9023673614242704,0.30834946799458396,1.1139581259150184,0.22153162202303114,-0.19098461412869105,0.21393074417924285,0.4180222091117458,5.3411962359652145
4,200406,24054,-1.248031524602312,0.3517800368771502,-0.7282875097326126,-0.2442087419172313,0.05774996935875082,-0.11090284691969675,0.31457323481487165,-0.9413610372287876,-0.41898402209586083,1.2217976847528498,0.7502008050563106,-0.1901251157311344,0.3603949628520333,0.09588553780426584,-0.5258522441293275,0.167027617569915,-0.5235636984547143,-0.4965041407038667,-0.31731383273867864,-1.563404411999826,-0.8245743472314467,-0.600815761465316,-0.283639440878841,-1.096687059491343,-0.43295741863816395,1.4095866362220197,-0.38424065720613976,-0.40691025409574383,-1.4598735491783932,1.1803967163841376,0.20507532522718183,-0.35646150400417453,0.736183934115686,-0.6419799811364797,-0.14405507563091596,-0.3668110894732791,-1.3752411375951656,-0.4992190046859283,-0.6796034718286877,0.3993288579711543,0.7777533815161767,0.7921564128241122,-0.2195301110348973,0.21623075194694477,-0.10782585915981431,-0.6896579044114372,-0.42249909888900067,0.06527378791008882,0.06120941956442387,0.27137011415298457,0.015473124917690007,1.2169627204672324,-1.0131753272724187,0.017096740000079665,-0.7129243421021053,-0.3230050984825714,0.036136864451414986,0.7651930548037277,-0.5180216109403322,0.6471234814179168,0.6611449182687251,4.363921869391919
5,200407,24055,0.30068050475606506,0.7055877845215112,0.8160033277926046,0.19468583001628215,0.4436107333189477,-0.11090284691960853,0.17694744458327863,0.6177846162295677,0.45941832559793605,-1.2288469306565453,0.390387094252302,-0.008231527148726138,-0.5643808868902589,-0.2645742979259765,-0.01132374059306129,-0.055762667336071735,-0.09618439040815213,0.004774178065776001,0.05106071586646637,-1.445150371271266,-0.8316770281393909,-0.31159783674226654,-0.07826329538414446,-1.3898288513519739,-0.1468435657014897,0.5184341296607956,-0.01918247883063041,0.07011074395637018,0.408934100132677,0.885046389050783,0.6419749311454264,0.035550515284284684,-0.6665430534534001,-0.7700883870659346,0.05548411040201604,0.08893950819861028,-0.4185756497631112,-0.03969600423261818,-0.8068195300136359,0.23348538986330197,0.17208119336370198,-0.16974342091569247,-0.08944469761251501,-0.1660587232194064,0.17679900334291,-0.49060389306193003,-0.0018167172952273246,0.4158805298658334,0.02718214094107598,0.12655934663968682,0.5318453446209584,0.7854878655904849,0.336532682189623,0.6872889480042073,0.46162237769518993,-0.19284810733274524,0.03613686445140623,-0.01779693034944074,-0.15442015886258886,0.47986034209373074,0.79283638572876,3.2599001116585193
6,200408,24056,-0.7301820897152003,-0.29506289110878575,1.4735334109584286,0.6125555122763237,0.8387321556141916,-0.11090284691967783,0.5898248152777409,-1.2694786418393362,-0.7312008186768378,-0.4438343608091214,-1.3362105999017284,0.014711789093036859,0.5386262705713408,-0.5002779105491058,0.05592362521996243,-0.2482427403236023,-0.040257175068734,0.013756243996101222,0.4441148459335933,-1.2651608642825127,-0.8157743580068897,-0.3249941295138537,-0.004199133265272589,-0.031177554640515304,-0.23025490873606277,0.161625868387855,0.14376015558126712,0.7601135943497351,1.2395152776043725,1.2460301224583226,0.2050753252270328,0.6032920604607075,0.5810746999133284,-0.6206285801490625,-0.16899747388504555,-0.3889013676354202,-0.5450458255103836,-0.039696004232618536,-1.42725022647909,-0.36387312147650874,-0.4189964842308693,-0.45230149707676365,-0.020402050470932343,0.2692893753497607,0.7538624010033309,-0.9540295173351133,0.26384434631912157,-0.7799934696967633,-0.40545040155549456,-0.3214489653545599,-0.6773785947718176,-0.8864771970571957,0.09989556364756197,0.01709674000014157,0.4995109815596008,0.12203066675766809,0.8060091940682589,-0.5179997257427963,0.0155799000142945,0.7918342873501578,0.7827062728471895,2.806828718620351
7,200409,24057,0.844025521403433,0.7296214259677181,-0.7282875097336412,0.5196955828852254,0.754151476154114,-0.11090284691960853,0.31457323481479343,0.5373485864491144,-0.020245002798101357,0.26745123016403494,0.2161805413010039,-0.0897894744821038,-0.5807648828793591,0.5186618863346599,-0.30243504025645307,-0.1752065885799239,-0.3383486316752479,-0.2827739785413998,-0.6048398111535812,-1.2143759279936441,-0.7025813781216661,0.1873965141596177,0.21136458342422618,0.5024462679683495,0.34775240793541307,0.5123571033130694,0.13209162933182156,-0.33543004337844184,0.6165793945006393,0.39279584349475677,0.6419749311454698,0.1166564503094818,-0.21470311034220563,-0.9921429573416369,-0.16899747388504793,0.3413359881557154,-1.1603670568211144,0.07109310272599084,-0.9994105069880636,0.2882298356464652,0.2012702144794921,0.21501651258023335,-0.2506182535956885,0.7014273647637843,-0.45672717406290686,-0.5510423108918411,-0.05576348430863141,-0.4083661423552572,0.3528718077643507,-0.5183011024429557,0.7259558512980638,1.4192165586907957,0.8273355947212648,0.017096740000160617,0.2721793583730409,-0.28653984738333355,0.8060091940682809,0.09348166510150059,0.07109587448382987,1.3321506082009926,1.1169999979380367,2.721911165920849
8,200410,24058,-0.09063724910645658,0.5398557987153396,-0.7282875097335126,1.0952519376962209,1.2906522823643858,-0.11090284691968413,1.415579556666595,0.7264235734238637,0.4926972105293186,0.9223691231828549,0.7452638235721954,0.6148800855439495,0.8883500555318316,-0.2022524287124969,-0.09673619158939022,0.04445832000098228,-0.1666995716260602,-0.15242214628523304,0.17825795861316268,-0.8942313203336796,-0.5129690103470741,-0.6476832807889997,0.22123098872133823,-0.37297254676837593,-0.17578125130762703,0.7510974241160926,0.2979513953060843,0.9234969331320962,1.6548058663401968,-0.19790481117257017,2.608023157778567,0.43657430513109957,-0.1674959521067126,-0.45408765244209154,-0.0442854826144512,-0.37957750428594245,-0.7579164183527353,-0.15048511119122604,-1.2588908796351281,-0.46692149000952526,4.703676721588817,1.8021512382508698,-0.1291628674881123,0.27424043615175386,-0.057398084052214984,-0.6962750522850296,-0.26111649978345935,-0.054491953751717497,-0.4346166403754956,0.059810633489014504,-0.27155647468154287,-1.6550417823064558,-0.1367415548944991,0.017096740000055854,0.04484773518643799,0.2737474049077372,0.036136864451329645,3.4189855654589234,0.2403209641739491,0.7843168428860987,1.3905130457396102,2.516103586367322
9,200411,24059,0.05255855442948546,0.6832440084894864,-2.269562154217957,1.6094856976262737,1.770971761342057,-0.11090284691971565,1.8284569273610338,0.6390956406747276,-0.259991123328992,-0.6222999506178147,-0.42791129248236953,0.03503736452876479,-1.3102113186958837,0.27568962080884035,-1.5158609899993227,-0.24385489671450103,-1.3518315303566786,-1.594236968931179,-0.6374078433110879,-1.0978967987705002,-0.4937271633001787,0.45693741478822675,0.07684094107177517,0.07557077788615736,0.21301812101594614,1.1760551951455505,0.6188358671658388,-1.0210565543401589,0.616579394500651,0.06462881312389006,0.6419749311455071,-0.3384379628874498,0.4866603834423398,-0.9024670731915185,-0.14405507563092587,0.483431351303243,-0.9933262504373628,-0.03969600423261823,-0.6626918133001392,0.49593670347083435,1.405317335505501,2.655837340694955,-0.07280604639776536,0.1552754069385484,0.3073427986530935,-0.7986962974068966,0.03879463233307281,-0.07679721611970701,0.18759645445105488,-0.510381763594557,-0.3668376640342059,1.2169627204672324,0.09989556364754484,0.01709674000002252,0.49951098155961693,-0.4608810113979071,2.345753853302039,2.4769736930771615,0.5058535882547489,1.16300810776065,1.2892119169242064,2.3747585626250016
