,YYYYMM,DATE,06.01.010.001.001,06.02.021.424,06.02.021.426,06.02.023.525,13.01.005.002.001,13.01.005.002.002,13.01.005.002.020,13.01.006.002.001,13.01.006.002.002,13.01.006.002.020,13.01.009.005,13.03.006.001.001,13.03.006.001.002,13.03.006.001.026,13.03.007.001.005,13.06.001.001,13.06.001.002,14.09.002.003,14.09.002.004,14.09.005.001,14.09.005.011,14.09.005.012,14.09.005.013,14.09.005.014,14948,14970,19597,20651,24447,29454,29820,29894,30213,30234,30236,30879,30916,30932,40482,43515,43520,45376,45378,45390,46204,46206,46218,53163,533973,533979,541309,58618,69813,86174,88944,94431,97726,97730,97738,98499
10,200412,24060,84.3600006104,116.800003052,130.0,78.6800003052,2032463.0,4442741.0,3806704.0,4111912.0,2929934.0,2626726.0,22.297000885,1050.91296387,1012.46820068,126.975997925,1050.7956543,2134.60009766,2670.0,34.1441001892,43.3045005798,283.309509277,296.480499268,362.252288818,236.320999146,322.754699707,2.71799993515,5519.0,40.1100006104,152.0,22.75,184.0,379.5,0.889999985695,320.589996338,0.0799999982119,549719.0,7217.29980469,1.13450915329e-14,51.6899986267,20.75,2364.0,1677.0,67823808.0,3552272.0,84008224.0,2537793.0,128637.0,2516061.0,2.05999994278,52.25,3094.0,19.5200004578,7.38999986649,106.0,197.0,169.199996948,125.0,62590.0,33348.0,27126.0,1178.0
11,200501,24061,85.1910018921,97.3700027466,105.940002441,78.6800003052,1873433.0,4478630.0,3478720.0,3668713.0,3050960.0,2602001.0,30.0401992798,1038.23327637,1005.68902588,125.44329834,1038.13330078,2609.60009766,3068.39990234,37.9500007629,46.888999939,282.959014893,291.196990967,355.949493408,239.89100647,320.930999756,2.89750003815,4502.0,44.0600013733,160.0,23.0,191.0,376.880004883,3.83999991417,322.119995117,-9.95731275211e-16,1084750.0,7270.25976563,0.319999992847,53.4099998474,20.8600006104,1521.0,1455.0,68966720.0,3629217.0,85630232.0,11348985.0,265665.0,4788627.0,1.96000003815,53.0400009155,3499.69995117,19.5200004578,6.40999984741,112.0,224.0,181.0,125.0,42436.0,29409.0,28289.0,1159.0
12,200502,24062,85.5360031128,93.6699981689,100.099998474,78.6800003052,1724001.0,4067752.0,2943673.0,3678072.0,2424721.0,2457854.0,20.0417995453,1022.42938232,974.844726562,123.534103394,1020.51171875,1309.80004883,1788.59997559,39.6209983826,48.0815010071,289.094512939,290.109985352,364.773010254,240.360992432,324.721496582,3.04830002785,4532.0,44.9700012207,161.0,22.2000007629,193.0,391.25,2.42000007629,324.070007324,0.0500000007451,357371.0,7323.66015625,0.740000009537,32.4399986267,18.1599998474,1493.0,1205.0,78125560.0,3841475.0,86575880.0,1521689.0,240223.0,1380180.0,1.16999995708,49.9000015259,2830.84008789,19.1100006104,5.36999988556,114.0,231.0,196.75,137.0,43557.0,28837.0,28411.0,1144.0
13,200503,24063,86.0530014038,95.8199996948,102.819999695,78.6800003052,2090277.0,5100933.0,3847123.0,4295684.0,3318878.0,2671754.0,11.7263002396,1007.49090576,957.137207031,121.728599548,1008.00897217,740.400024414,2605.89990234,45.742099762,54.6150016785,312.6980896,298.133087158,371.995910645,247.121307373,333.311798096,3.27909994125,4678.0,53.0999984741,168.0,22.2299995422,201.0,470.619995117,2.95000004768,325.269989014,0.0599999986589,1088628.0,7355.35986328,0.850000023842,92.6699981689,24.2199993134,1543.0,1320.0,78367240.0,4049262.0,85537296.0,2129465.0,307750.0,866240.0,1.97000002861,50.9199981689,2990.0300293,19.5,6.23000001907,122.0,233.0,224.880004883,161.0,42112.0,29971.0,28558.0,1109.0
14,200504,24064,86.138999939,95.3899993896,102.13999939,78.6800003052,1927815.0,4934865.0,3461143.0,4168798.0,3367807.0,2474397.0,16.2800998688,1010.93499756,942.586486816,122.145500183,1009.71502686,-748.5,2510.60009766,47.2370986938,53.3541984558,305.260009766,299.253295898,371.52230835,247.729507446,336.693786621,3.38779997826,4532.0,52.2599983215,170.0,22.4899997711,205.0,508.5,1.85000002384,328.0,-9.00321484032e-16,383415.0,7447.18017578,-1.40443212615e-14,73.3199996948,24.2600002289,1217.0,1209.0,77974952.0,4264340.0,83451496.0,1245107.0,156167.0,1950381.0,1.87999999523,51.25,3723.80004883,19.2900009155,6.21000003815,127.0,238.0,261.399993896,161.0,33253.0,28583.0,28599.0,1152.0
15,200505,24065,86.0530014038,92.8899993896,98.4400024414,82.5,2112347.0,5084554.0,3049347.0,3789772.0,3417804.0,2401004.0,19.6091995239,1002.21417236,939.377075195,121.092300415,1002.41900635,1892.0,2738.80004883,45.1930999756,50.136100769,298.113311768,297.573303223,365.79901123,246.628494263,331.877593994,3.4821999073,3667.0,48.5400009155,171.0,22.5799999237,208.0,481.25,2.79999995232,330.019989014,-1.00657329694e-15,542506.0,7520.5,-7.41073868937e-15,89.0599975586,21.75,1358.0,1100.0,77184472.0,4347186.0,83547864.0,1476067.0,233059.0,4985835.0,1.97000002861,51.3100013733,3325.12011719,19.6800003052,6.23999977112,128.0,236.0,259.880004883,161.0,32093.0,23299.0,28206.0,1157.0
16,200506,24066,85.7939987183,89.4300003052,92.6999969482,82.5,2016336.0,5431810.0,3281114.0,4088812.0,3238887.0,2630202.0,24.189699173,1010.87139893,930.045715332,122.13760376,1012.17608643,2350.19995117,3518.5,51.0750007629,56.4490013123,307.038085937,297.930389404,366.105194092,244.697601318,331.676086426,3.59500002861,2746.0,53.6899986267,166.0,22.7000007629,200.0,505.619995117,2.29999995232,331.910003662,0.0799999982119,523494.0,7609.56005859,-2.61648341882e-14,59.9500007629,20.7000007629,1225.0,1024.0,76763632.0,4491181.0,85731568.0,1448482.0,185834.0,3254426.0,2.29999995232,51.0,4304.68017578,19.0799999237,6.13000011444,124.0,228.0,257.380004883,161.0,28168.0,19814.0,27415.0,1174.0
17,200507,24067,86.138999939,89.0999984741,91.8199996948,82.5,1947968.0,5341838.0,3274529.0,3916019.0,3095095.0,2571218.0,17.2668991089,1037.44274902,927.210876465,126.074699402,1037.5,1849.40002441,3324.10009766,52.8446998596,59.0909996033,307.840911865,292.834991455,361.308410645,247.214492798,325.26449585,3.81220006943,2220.0,57.2200012207,166.0,22.6499996185,197.0,540.0,2.76999998093,333.329986572,0.140000000596,586454.0,7669.52001953,-2.87877360838e-14,96.7099990845,21.6000003815,1169.0,1062.0,76759808.0,4617062.0,86689960.0,2700513.0,50362.0,3455700.0,2.22000002861,50.9000015259,3390.0300293,19.7199993134,6.53999996185,123.0,200.0,256.5,153.0,28678.0,15529.0,26287.0,1149.0
18,200508,24068,86.3970031738,88.7300033569,91.2399978638,82.5,1904502.0,5423375.0,3254946.0,3964112.0,3212406.0,2647907.0,13.4212999344,1021.17272949,921.815002441,126.037696838,1021.52722168,752.299987793,2533.80004883,56.6526985168,65.0020980835,318.760803223,290.652099609,363.469085693,243.0756073,324.549499512,4.02500009537,2203.0,63.2000007629,161.0,22.9899997711,194.0,540.0,2.11999988556,335.690002441,-1.2420620088e-15,906560.0,7766.22998047,0.439999997616,89.2699966431,23.0699996948,1047.0,1025.0,77065824.0,4570716.0,87372448.0,1722751.0,74924.0,371634.0,1.45000004768,49.1199989319,2825.06005859,19.5499992371,6.26999998093,119.0,197.0,272.380004883,153.0,24245.0,14362.0,24659.0,1140.0
19,200509,24069,86.8280029297,89.6900024414,92.4100036621,82.5,2038942.0,5540812.0,3535928.0,4279926.0,3189359.0,2357418.0,18.0053005219,1029.33325195,927.112792969,127.197097778,1029.52844238,1644.30004883,2528.80004883,57.1349983215,65.551399231,326.424499512,293.771911621,364.714691162,246.446594238,329.148986816,4.05649995804,2803.0,63.8300018311,160.0,22.9400005341,191.0,591.5,2.18000006676,337.309997559,0.0299999993294,1232586.0,7855.04980469,-3.05311331772e-15,86.5299987793,23.0200004578,1275.0,1650.0,77144680.0,4556371.0,85619888.0,897191.0,68207.0,1142089.0,1.51999998093,45.25,3638.61010742,20.1299991608,6.55999994278,117.0,209.0,321.299987793,153.0,36788.0,17024.0,23354.0,1149.0
